ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Абрамов Альберт Артурович,Россия,3321 103710,670-254-351 80,4507 8456 8664 4845,Сбербанк,,"Отечность суставов, Онемение, Боль в суставах",Ревматолог,2024-03-19T09:56:51+03:00,"Общий анализ крови, Анализ на ревматоидный фактор",2024-03-21T19:25:31+03:00,11777.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Боли внизу живота, Выделения, Нарушение менструального цикла",Инфекционист,2024-02-18T14:12:13+03:00,"Общий анализ крови, Биохимический анализ крови",2024-02-20T18:57:09+03:00,10563.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Боли внизу живота, Выделения, Нарушение менструального цикла",Гинеколог,2024-04-05T18:16:35+03:00,"Цитологическое исследование, УЗИ органов малого таза, Гормональные исследования",2024-04-08T20:21:55+03:00,8305.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Отек, Переломы, Боль в суставах",Травматолог,2024-09-12T19:57:57+03:00,"Рентген, Общий анализ крови, УЗИ мягких тканей",2024-09-15T12:11:15+03:00,2836.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Кашель, Боль в животе, Температура, Рвота",Педиатр,2024-09-12T19:57:57+03:00,"Иммуноферментный анализ (ИФА), Копрограмма",2024-03-15T19:56:40+03:00,2836.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,2812 7785 5863 9979,ВТБ,Visa,Отеки,Венеролог,2023-07-24T10:17:47+03:00,"Общий анализ крови, Анализ на ВИЧ, ПЦР на инфекции",2025-02-16T18:58:50+03:00,4997.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,2812 7785 5863 9979,ВТБ,Visa,Отеки,Сосудистый хирург,2025-02-13T20:55:41+03:00,"Общий анализ крови, Допплерография сосудов",2025-02-16T18:58:50+03:00,10559.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,2812 7785 5863 9979,ВТБ,Visa,"Боль внизу живота, Нарушение цикла",Акушер-гинеколог,2025-02-13T20:55:41+03:00,"Общий анализ крови, Допплерография сосудов",2024-04-30T16:05:40+03:00,10869.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,2812 7785 5863 9979,ВТБ,Visa,"Боль внизу живота, Нарушение цикла",Ревматолог,2025-02-13T20:55:41+03:00,"МРТ суставов, Анализ на ревматоидный фактор",2024-10-29T15:39:23+03:00,7013.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,2812 7785 5863 9979,ВТБ,Visa,Онемение,Ревматолог,2025-02-13T20:55:41+03:00,"МРТ головного мозга, Доплерография сосудов шеи, Общий анализ крови",2024-12-01T16:27:35+03:00,9713.0
