ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
,Казахстан,N 0872816,513-768-378 17,,,,Боль в пояснице,Нефролог,2024-10-17T14:47:52+03:00,"Анализ мочи по Нечипоренко, Биохимический анализ крови, УЗИ почек",2024-10-19T17:19:26+03:00,
Маслов Лука Саввич,Казахстан,N 0872816,513-768-378 17,4031 3419 1176 8507,,,"Частые заболевания, Распространение инфекции",,2024-05-30T20:49:09+03:00,,,4923.0
Маслов Лука Саввич,Казахстан,N 0872816,513-768-378 17,,Сбербанк,Мир,Реабилитация после травм,,,,,3162.0
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,,Офтальмолог,,Оптическая когерентная томография,,
Абрамова Глафира Марковна,Беларусь,JR 5918411,,2075 5496 1412 8677,Альфа-Банк,Visa,,,2025-03-18T18:00:22+03:00,"Биохимический анализ крови, Общий анализ крови",,5098.0
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,,Альфа-Банк,,Потливость,Инфекционист,2025-01-10T12:06:22+03:00,"Биохимический анализ крови, Общий анализ крови, Анализ на антитела",,6070.0
Князева Римма Романовна,Беларусь,,671-681-151 65,3319 5884 9025 2128,,,"Острая боль в пояснице, Боль в животе",Хирург,2024-12-21T09:51:35+03:00,УЗИ органов брюшной полости,,
Князева Римма Романовна,,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,Лихорадка,,2023-05-26T19:55:09+03:00,,2023-05-28T13:29:27+03:00,
Князева Римма Романовна,Беларусь,,671-681-151 65,3319 5884 9025 2128,Тинькофф,,,,2024-07-13T15:54:28+03:00,,,7549.0
,Беларусь,,,3319 5884 9025 2128,,Visa,Тревожность,Психиатр,2024-02-29T12:51:48+03:00,Токсикологическое исследование,,8683.0
,Беларусь,,,3319 5884 9025 2128,Тинькофф,Visa,,Терапевт,,"Общий анализ крови, ЭКГ, Биохимический анализ крови",2023-09-05T16:29:31+03:00,11117.0
Шестаков Василий Витальевич,,CS 8487650,,1743 3604 5925 9778,,MasterCard,"Отечность суставов, Онемение, Боль в суставах",Ревматолог,2024-12-30T17:54:47+03:00,"МРТ суставов, Общий анализ крови, Антинуклеарные антитела",2025-01-01T08:00:53+03:00,8304.0
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Нарушение полового влечения, Эректильная дисфункция",Сексопатолог,2025-02-07T10:53:37+03:00,"Психологические тесты, Гормональные исследования, Анализ на тестостерон",2025-02-09T10:44:51+03:00,7627.0
Шестаков Василий Витальевич,,CS 8487650,216-372-495 74,,,MasterCard,"Запор, Кровотечение, Боль в анальной области",Проктолог,2024-02-26T11:05:07+03:00,,2024-02-27T19:44:13+03:00,9348.0
Шестаков Василий Витальевич,,CS 8487650,,1743 3604 5925 9778,Сбербанк,MasterCard,"Зуд, Сыпь, Онемение кожи",,2023-08-08T11:04:08+03:00,Биопсия кожи,,10906.0
,Беларусь,CS 8487650,,1743 3604 5925 9778,Сбербанк,MasterCard,,Отоларинголог,2024-02-17T12:59:30+03:00,Аудиометрия,,
Колесникова Зарина Васильевна,Беларусь,,,7526 9571 6954 1620,Альфа-Банк,Visa,,Ортопед,2025-04-11T13:32:20+03:00,"Общий анализ крови, Анализ на ревматоидный фактор",2025-04-13T08:57:05+03:00,2198.0
Колесникова Зарина Васильевна,,XE 7297831,,7526 9571 6954 1620,,Visa,"Утомляемость, Нарушение сна, Депрессия, Тревожность",Психиатр,2024-04-22T10:13:08+03:00,"Токсикологическое исследование, Общий анализ крови, Психологические тесты",2024-04-23T19:08:10+03:00,
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,Альфа-Банк,Visa,Абстинентный синдром,,2023-08-01T19:55:13+03:00,,2023-08-03T21:49:08+03:00,11882.0
Колесникова Зарина Васильевна,Беларусь,XE 7297831,616-845-591 28,7526 9571 6954 1620,,Visa,"Лихорадка, Потеря аппетита, Боль в животе",Паразитолог,,"Копрограмма, Анализ на антитела к паразитам, Общий анализ крови",2023-08-01T21:49:35+03:00,3287.0
