ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Маслов Лука Саввич,Казахстан,N 0872816,513-768-378 17,4031 3419 1176 8507,Сбербанк,Мир,Боль в пояснице,Нефролог,2024-10-17T14:47:52+03:00,"Анализ мочи по Нечипоренко, Биохимический анализ крови, УЗИ почек",2024-10-19T17:19:26+03:00,9564
Маслов Лука Саввич,Казахстан,N 0872816,513-768-378 17,4031 3419 1176 8507,Сбербанк,Мир,"Частые заболевания, Распространение инфекции",Эпидемиолог,2024-05-30T20:49:09+03:00,Биохимический анализ крови,2024-06-02T09:46:18+03:00,4923
Маслов Лука Саввич,Казахстан,N 0872816,513-768-378 17,4031 3419 1176 8507,Сбербанк,Мир,Реабилитация после травм,Физиотерапевт,2024-10-09T10:58:57+03:00,Рентген,2024-10-12T15:14:13+03:00,3162
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,"Покраснение глаз, Сухость глаз",Офтальмолог,2023-08-16T16:26:54+03:00,Оптическая когерентная томография,2023-08-17T17:10:02+03:00,4196
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,"Боль в суставах, Слабость",Гериатр,2025-03-18T18:00:22+03:00,"Биохимический анализ крови, Общий анализ крови",2025-03-20T21:34:37+03:00,5098
Абрамова Глафира Марковна,Беларусь,JR 5918411,358-288-163 93,2075 5496 1412 8677,Альфа-Банк,Visa,Потливость,Инфекционист,2025-01-10T12:06:22+03:00,"Биохимический анализ крови, Общий анализ крови, Анализ на антитела",2025-01-12T10:25:04+03:00,6070
Князева Римма Романовна,Беларусь,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,"Острая боль в пояснице, Боль в животе",Хирург,2024-12-21T09:51:35+03:00,УЗИ органов брюшной полости,2024-12-24T12:16:40+03:00,11046
Князева Римма Романовна,Беларусь,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,Лихорадка,Онколог,2023-05-26T19:55:09+03:00,"МРТ или КТ, Биопсия опухоли",2023-05-28T13:29:27+03:00,11609
Князева Римма Романовна,Беларусь,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,"Потливость, Слабость, Лихорадка, Бледность кожи",Гематолог,2024-07-13T15:54:28+03:00,"Общий анализ крови, Ферритин, Анализ на тромбоциты",2024-07-16T20:20:05+03:00,7549
Князева Римма Романовна,Беларусь,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,Тревожность,Психиатр,2024-02-29T12:51:48+03:00,Токсикологическое исследование,2024-03-03T14:00:19+03:00,8683
Князева Римма Романовна,Беларусь,LT 9852207,671-681-151 65,3319 5884 9025 2128,Тинькофф,Visa,"Озноб, Кашель, Температура, Слабость",Терапевт,2023-09-02T14:41:24+03:00,"Общий анализ крови, ЭКГ, Биохимический анализ крови",2023-09-05T16:29:31+03:00,11117
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Отечность суставов, Онемение, Боль в суставах",Ревматолог,2024-12-30T17:54:47+03:00,"МРТ суставов, Общий анализ крови, Антинуклеарные антитела",2025-01-01T08:00:53+03:00,8304
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Нарушение полового влечения, Эректильная дисфункция",Сексопатолог,2025-02-07T10:53:37+03:00,"Психологические тесты, Гормональные исследования, Анализ на тестостерон",2025-02-09T10:44:51+03:00,7627
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Запор, Кровотечение, Боль в анальной области",Проктолог,2024-02-26T11:05:07+03:00,Колоноскопия,2024-02-27T19:44:13+03:00,9348
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Зуд, Сыпь, Онемение кожи",Дерматолог,2023-08-08T11:04:08+03:00,Биопсия кожи,2023-08-09T18:34:35+03:00,10906
Шестаков Василий Витальевич,Беларусь,CS 8487650,216-372-495 74,1743 3604 5925 9778,Сбербанк,MasterCard,"Заложенность носа, Боль в горле",Отоларинголог,2024-02-17T12:59:30+03:00,Аудиометрия,2024-02-18T19:12:27+03:00,2039
